Fecha,Temperatura_C
2014-06-20,12.527
2014-06-21,6.092
2014-06-22,6.167
2014-06-23,9.371
2014-06-24,7.429
2014-06-25,5.5
2014-06-26,3.77
2014-06-27,2.343
2014-06-28,5.417
2014-06-29,7.358
2014-06-30,5.929
2014-07-01,6.112
2014-07-02,3.579
2014-07-03,4.829
2014-07-04,4.212
2014-07-05,3.717
2014-07-06,3.842
2014-07-07,9.183
2014-07-08,9.058
2014-07-09,11.346
2014-07-10,11.375
2014-07-11,7.333
2014-07-12,7.304
2014-07-13,8.4
2014-07-14,7.729
2014-07-15,5.442
2014-07-16,8.846
2014-07-17,8.461
2014-07-18,11.604
2014-07-19,12.75
2014-07-20,10.446
2014-07-21,6.0
2014-07-22,4.454
2014-07-23,2.738
2014-07-24,2.392
2014-07-25,6.708
2014-07-26,7.979
2014-07-27,11.183
2014-07-28,12.388
2014-07-29,13.433
2014-07-30,13.029
2014-07-31,10.579
2014-08-01,10.754
2014-08-02,10.738
2014-08-03,7.904
2014-08-04,10.317
2014-08-05,10.537
2014-08-06,4.425
2014-08-07,7.867
2014-08-08,12.042
2014-08-09,12.246
2014-08-10,9.358
2014-08-11,8.725
2014-08-12,6.529
2014-08-13,13.054
2014-08-14,12.338
2014-08-15,12.625
2014-08-16,14.579
2014-08-17,16.675
2014-08-18,17.154
2014-08-19,14.825
2014-08-20,14.009
2014-08-21,12.087
2014-08-22,9.461
2014-08-23,4.808
2014-08-24,1.925
2014-08-25,5.262
2014-08-26,10.142
2014-08-27,7.717
2014-08-28,9.913
2014-08-29,11.079
2014-08-30,8.433
2014-08-31,9.975
2014-09-01,8.829
2014-09-02,7.471
2014-09-03,8.83
2014-09-04,7.462
2014-09-05,5.604
2014-09-06,6.683
2014-09-07,13.013
2014-09-08,12.146
2014-09-09,7.254
2014-09-10,6.0
2014-09-11,8.729
2014-09-12,9.942
2014-09-13,6.439
2014-09-14,10.138
2014-09-15,14.874
2014-09-16,12.967
2014-09-17,9.867
2014-09-18,9.048
2014-09-19,9.87
2014-09-20,12.842
2014-09-21,13.378
2014-09-22,8.242
2014-09-23,7.13
2014-09-24,9.962
2014-09-25,9.121
2014-09-26,9.888
2014-09-27,11.8
2014-09-28,13.4
2014-09-29,11.5
2014-09-30,13.446
2014-10-01,15.346
2014-10-02,15.208
2014-10-03,13.592
2014-10-04,9.967
2014-10-05,11.317
2014-10-06,17.267
2014-10-07,16.596
2014-10-08,13.491
2014-10-09,11.868
2014-10-10,12.574
2014-10-11,13.979
2014-10-12,15.108
2014-10-13,16.971
2014-10-14,16.392
2014-10-15,14.825
2014-10-16,14.192
2014-10-17,14.483
2014-10-18,10.017
2014-10-19,15.329
2014-10-20,18.252
2014-10-21,18.67
2014-10-22,18.865
2014-10-23,20.004
2014-10-24,19.842
2014-10-25,20.929
2014-10-26,16.038
2014-10-27,16.467
2014-10-28,14.471
2014-10-29,12.7
2014-10-30,11.013
2014-10-31,13.291
2014-11-01,11.867
2014-11-02,12.479
2014-11-03,12.646
2014-11-04,14.425
2014-11-05,13.579
2014-11-06,14.892
2014-11-07,15.879
2014-11-08,17.746
2014-11-09,18.004
2014-11-10,17.104
2014-11-11,14.95
2014-11-12,16.362
2014-11-13,16.983
2014-11-14,18.923
2014-11-15,18.463
2014-11-16,18.673
2014-11-17,19.583
2014-11-18,17.471
2014-11-19,16.329
2014-11-20,13.809
2014-11-21,14.917
2014-11-22,17.078
2014-11-23,17.017
2014-11-24,13.087
2014-11-25,14.929
2014-11-26,17.088
2014-11-27,18.046
