Fecha,Temperatura_°C
2021-06-23,5.171
2021-06-24,7.181
2021-06-25,5.206
2021-06-26,2.69
2021-06-27,4.081
2021-06-28,8.21
2021-06-29,12.321
2021-06-30,13.112
2021-07-01,10.796
2021-07-02,9.719
2021-07-03,13.492
2021-07-04,12.462
2021-07-05,13.615
2021-07-06,5.808
2021-07-07,11.61
2021-07-08,13.965
2021-07-09,10.894
2021-07-10,12.929
2021-07-11,14.24
2021-07-12,8.531
2021-07-13,8.333
2021-07-14,7.669
2021-07-15,9.652
2021-07-16,8.896
2021-07-17,10.196
2021-07-18,13.146
2021-07-19,13.833
2021-07-20,15.76
2021-07-21,16.575
2021-07-22,16.46
2021-07-23,15.742
2021-07-24,4.833
2021-07-25,6.306
2021-07-26,5.56
2021-07-27,6.358
2021-07-28,9.935
2021-07-29,12.494
2021-07-30,12.722
2021-07-31,18.054
2021-08-01,15.938
2021-08-02,15.814
2021-08-03,17.362
2021-08-04,17.938
2021-08-05,15.527
2021-08-06,14.6
2021-08-07,8.852
2021-08-08,5.883
2021-08-09,6.119
2021-08-10,9.148
2021-08-11,11.6
2021-08-12,9.952
2021-08-13,10.821
2021-08-14,12.406
2021-08-15,12.967
2021-08-16,10.746
2021-08-17,12.119
2021-08-18,10.058
2021-08-19,6.965
2021-08-20,8.325
2021-08-21,8.671
2021-08-22,7.633
2021-08-23,5.51
2021-08-24,5.131
2021-08-25,5.108
2021-08-26,7.852
2021-08-27,10.329
2021-08-28,13.054
2021-08-29,16.137
2021-08-30,13.865
2021-08-31,11.994
2021-09-01,11.596
2021-09-02,13.781
2021-09-03,12.352
2021-09-04,10.844
2021-09-05,11.417
2021-09-06,7.804
2021-09-07,3.777
2021-09-08,5.633
2021-09-09,13.175
2021-09-10,15.883
2021-09-11,10.346
2021-09-12,7.646
2021-09-13,5.456
2021-09-14,8.906
2021-09-15,11.685
2021-09-16,14.133
2021-09-17,13.665
2021-09-18,11.85
2021-09-19,9.498
2021-09-20,11.585
2021-09-21,12.915
2021-09-22,10.596
2021-09-23,15.75
2021-09-24,18.727
2021-09-25,14.535
2021-09-26,16.281
2021-09-27,15.763
2021-09-28,16.402
2021-09-29,14.742
2021-09-30,10.91
2021-10-01,11.821
2021-10-02,10.594
2021-10-03,10.523
2021-10-04,14.121
2021-10-05,12.838
2021-10-06,15.271
2021-10-07,14.235
2021-10-08,7.973
2021-10-09,10.821
2021-10-10,11.819
2021-10-11,17.612
2021-10-12,11.058
2021-10-13,12.937
2021-10-14,10.283
2021-10-15,9.971
2021-10-16,13.265
2021-10-17,13.315
2021-10-18,17.113
2021-10-19,18.523
2021-10-20,15.108
2021-10-21,15.813
2021-10-22,12.975
2021-10-23,11.734
2021-10-24,17.071
2021-10-25,20.933
2021-10-26,18.4
2021-10-27,18.808
2021-10-28,20.665
2021-10-29,20.173
2021-10-30,21.308
2021-10-31,19.46
2021-11-01,17.552
2021-11-02,19.233
2021-11-03,16.677
2021-11-04,13.81
2021-11-05,15.808
2021-11-06,15.85
2021-11-07,16.383
2021-11-08,17.84
2021-11-09,17.185
2021-11-10,16.479
2021-11-11,18.215
2021-11-12,17.173
2021-11-13,14.065
2021-11-14,16.742
2021-11-15,16.227
2021-11-16,18.35
2021-11-17,18.369
2021-11-18,18.137
2021-11-19,18.748
2021-11-20,19.346
2021-11-21,20.973
2021-11-22,21.423
2021-11-23,20.26
2021-11-24,17.042
2021-11-25,20.254
2021-11-26,18.565
2021-11-27,15.567
2021-11-28,17.273
2021-11-29,19.187
2021-11-30,16.357
2021-12-01,18.538
2021-12-02,19.146
2021-12-03,17.956
2021-12-04,20.435
2021-12-05,22.944
2021-12-06,21.34
2021-12-07,20.685
2021-12-08,20.985
2021-12-09,20.417
2021-12-10,18.283
2021-12-11,16.517
2021-12-12,15.421
2021-12-13,15.919
2021-12-14,17.138
2021-12-15,18.946
2021-12-16,20.013
2021-12-17,21.304
2021-12-18,21.944
2021-12-19,22.96
2021-12-20,22.546
2021-12-21,21.644
2021-12-22,20.908
2021-12-23,20.465
2021-12-24,21.017
2021-12-25,21.863
2021-12-26,22.777
2021-12-27,21.548
2021-12-28,22.325
2021-12-29,19.675
2021-12-30,19.815
2021-12-31,20.498
2022-01-01,19.31
2022-01-02,19.742
2022-01-03,20.117
2022-01-04,20.483
2022-01-05,21.856
2022-01-06,21.035
2022-01-07,22.452
2022-01-08,21.869
2022-01-09,20.458
2022-01-10,20.354
2022-01-11,21.869
2022-01-12,22.323
2022-01-13,21.66
2022-01-14,22.152
2022-01-15,20.363
2022-01-16,18.046
2022-01-17,15.644
2022-01-18,17.108
2022-01-19,18.002
2022-01-20,19.419
2022-01-21,19.477
2022-01-22,19.21
2022-01-23,19.471
2022-01-24,20.41
2022-01-25,21.231
2022-01-26,20.969
2022-01-27,21.013
2022-01-28,20.254
2022-01-29,19.596
2022-01-30,18.687
2022-01-31,19.525
2022-02-01,19.475
2022-02-02,19.802
2022-02-03,19.819
2022-02-04,19.021
2022-02-05,19.654
2022-02-06,22.169
2022-02-07,21.61
2022-02-08,21.412
2022-02-09,20.535
2022-02-10,17.992
2022-02-11,18.1
2022-02-12,21.977
2022-02-13,19.39
2022-02-14,19.794
2022-02-15,20.85
2022-02-16,22.652
2022-02-17,21.165
2022-02-18,20.419
2022-02-19,18.652
2022-02-20,17.479
2022-02-21,17.915
2022-02-22,16.854
2022-02-23,12.892
2022-02-24,15.942
2022-02-25,18.938
2022-02-26,18.856
2022-02-27,17.938
2022-02-28,18.452
2022-03-01,19.223
2022-03-02,19.781
2022-03-03,20.343
2022-03-04,19.787
2022-03-05,19.948
2022-03-06,17.785
2022-03-07,19.398
2022-03-08,17.758
2022-03-09,17.515
2022-03-10,18.76
2022-03-11,19.085
2022-03-12,18.663
2022-03-13,21.283
2022-03-14,21.952
2022-03-15,20.265
2022-03-16,19.46
2022-03-17,17.91
2022-03-18,18.156
2022-03-19,19.765
2022-03-20,19.533
2022-03-21,16.05
2022-03-22,17.633
2022-03-23,15.123
2022-03-24,18.131
2022-03-25,20.57
2022-03-26,18.352
2022-03-27,19.789
2022-03-28,18.231
2022-03-29,14.9
2022-03-30,15.669
2022-03-31,16.05
2022-04-01,16.646
2022-04-02,14.775
2022-04-03,14.915
2022-04-04,17.821
2022-04-05,17.902
2022-04-06,18.435
2022-04-07,19.058
2022-04-08,19.258
2022-04-09,14.838
2022-04-10,12.492
2022-04-11,12.127
2022-04-12,13.515
2022-04-13,15.188
2022-04-14,16.398
2022-04-15,12.221
2022-04-16,15.49
2022-04-17,17.494
2022-04-18,16.779
2022-04-19,13.306
2022-04-20,13.138
2022-04-21,13.323
2022-04-22,11.754
2022-04-23,14.415
2022-04-24,13.531
2022-04-25,14.019
2022-04-26,9.288
2022-04-27,8.492
2022-04-28,13.242
2022-04-29,15.81
2022-04-30,13.479
2022-05-01,11.338
2022-05-02,12.477
2022-05-03,16.215
2022-05-04,16.419
2022-05-05,16.385
2022-05-06,15.75
2022-05-07,16.273
2022-05-08,8.371
2022-05-09,12.017
2022-05-10,15.45
2022-05-11,15.348
2022-05-12,12.104
2022-05-13,12.058
2022-05-14,12.254
2022-05-15,13.667
2022-05-16,15.646
2022-05-17,16.958
2022-05-18,17.106
2022-05-19,11.908
2022-05-20,10.612
2022-05-21,12.198
2022-05-22,13.348
2022-05-23,14.875
2022-05-24,12.406
2022-05-25,13.419
2022-05-26,11.887
2022-05-27,9.844
2022-05-28,7.35
2022-05-29,7.575
2022-05-30,8.081
2022-05-31,7.027
2022-06-01,6.737
2022-06-02,6.008
2022-06-03,6.781
2022-06-04,8.248
2022-06-05,9.129
2022-06-06,10.377
2022-06-07,12.798
2022-06-08,10.233
2022-06-09,11.804
2022-06-10,13.919
2022-06-11,14.004
2022-06-12,14.354
2022-06-13,13.752
2022-06-14,8.5
2022-06-15,4.529
2022-06-16,4.335
2022-06-17,7.217
2022-06-18,11.669
2022-06-19,10.394
2022-06-20,9.212
2022-06-21,4.931
2022-06-22,6.019
2022-06-23,5.988
2022-06-24,8.177
2022-06-25,9.821
2022-06-26,5.875
2022-06-27,4.138
2022-06-28,8.78
2022-06-29,11.518
2022-06-30,11.943
2022-07-01,3.122
2022-07-02,4.893
2022-07-03,5.272
2022-07-04,5.495
2022-07-05,6.552
2022-07-06,4.661
2022-07-07,10.005
2022-07-08,9.422
2022-07-09,3.659
2022-07-10,1.612
2022-07-11,1.765
2022-07-12,6.495
2022-07-13,6.785
2022-07-14,2.197
2022-07-15,0.968
2022-07-16,0.528
2022-07-17,5.93
2022-07-18,10.05
2022-07-19,12.05
2022-07-20,11.184
2022-07-21,12.516
2022-07-22,13.12
2022-07-23,12.009
2022-07-24,12.448
2022-07-25,11.679
2022-07-26,7.613
2022-07-27,6.221
2022-07-28,9.068
2022-07-29,13.757
2022-07-30,10.233
2022-07-31,10.554
2022-08-01,9.931
2022-08-02,8.377
2022-08-03,6.233
2022-08-04,8.571
2022-08-05,8.715
2022-08-06,4.685
2022-08-07,2.869
2022-08-08,5.883
2022-08-09,11.402
2022-08-10,13.135
2022-08-11,12.213
2022-08-12,6.746
2022-08-13,10.465
2022-08-14,6.498
2022-08-15,6.181
2022-08-16,8.231
2022-08-17,7.088
2022-08-18,8.808
2022-08-19,14.85
2022-08-20,15.687
2022-08-21,15.567
