Fecha,Precipitacion_mm
2021-02-04,0.0
2021-02-05,0.0
2021-02-06,0.0
2021-02-07,0.0
2021-02-08,0.0
2021-02-09,0.0
2021-02-10,0.0
2021-02-11,41.336000000000006
2021-02-12,0.656
2021-02-13,0.0
2021-02-14,0.0
2021-02-15,0.0
2021-02-16,0.0
2021-02-17,20.576
2021-02-18,298.632
2021-02-19,2.456
2021-02-20,0.0
2021-02-21,266.064
2021-02-22,2.232
2021-02-23,0.0
2021-02-24,0.0
2021-02-25,0.0
2021-02-26,0.0
2021-02-27,35.168
2021-02-28,3.224
2021-03-01,0.08
2021-03-02,0.0
2021-03-03,3.5760000000000005
2021-03-04,0.056
2021-03-05,0.0
2021-03-06,169.608
2021-03-08,6.664000000000001
2021-03-09,174.832
2021-03-11,86.864
2021-03-12,0.7280000000000001
2021-03-13,0.0
2021-03-14,0.0
2021-03-15,0.0
2021-03-16,0.0
2021-03-17,0.0
2021-03-18,0.0
2021-03-19,0.0
2021-03-20,0.0
2021-03-21,0.0
2021-03-22,0.0
2021-03-24,5.696000000000001
2021-03-25,0.0
2021-03-26,0.0
2021-03-27,0.0
2021-03-28,0.0
2021-03-29,0.0
2021-03-30,0.0
2021-03-31,53.99200000000001
2021-04-01,0.424
2021-04-02,0.0
2021-04-03,0.0
2021-04-04,22.224000000000004
2021-04-05,22.192
2021-04-06,27.088
2021-04-07,229.04
2021-04-08,3.704
2021-04-09,0.0
2021-04-10,1.408
2021-04-11,158.94400000000002
2021-04-13,5.5680000000000005
2021-04-14,343.856
2021-04-15,9.896
2021-04-16,361.36
2021-04-17,2.8320000000000003
2021-04-18,93.48
2021-04-19,302.008
2021-04-20,3.6560000000000006
2021-04-21,66.432
2021-04-22,3.648
2021-04-23,0.056
2021-04-24,6.616
2021-04-25,0.08
2021-04-26,30.088
2021-04-28,42.802
2021-04-29,65.00800000000001
2021-04-30,241.712
2021-05-01,74.424
2021-05-02,167.41600000000005
2021-05-03,18.152
2021-05-04,0.112
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-08,0.0
2021-05-09,60.232000000000006
2021-05-10,0.504
2021-05-11,24.224000000000004
2021-05-12,182.168
2021-05-13,1.512
2021-05-14,15.823999999999998
2021-05-15,0.328
2021-05-16,0.0
2021-05-17,8.264000000000001
2021-05-18,16.6
2021-05-19,13.480000000000002
2021-05-20,12.144
2021-05-21,0.16
2021-05-22,1.016
2021-05-23,47.368
2021-05-25,6.64
2021-05-26,17.520000000000003
2021-05-27,193.016
2021-05-28,1.936
2021-05-29,0.0
2021-05-30,97.56
2021-05-31,8.344
2021-06-01,0.08
2021-06-02,39.992
2021-06-03,64.464
2021-06-04,133.616
2021-06-05,14.336000000000002
2021-06-06,10.464
2021-06-07,194.344
2021-06-09,154.27
2021-06-12,0.0
2021-06-13,0.2319999999999999
2021-06-14,0.0
2021-06-15,0.0
2021-06-16,0.0
2021-06-17,0.0
2021-06-18,0.0
2021-06-19,0.0
2021-06-20,0.032
2021-06-21,21.504
2021-06-23,1.7280000000000002
2021-06-24,190.192
2021-06-26,6.5760000000000005
2021-06-27,0.0
2021-06-28,0.0
2021-06-29,0.0
2021-06-30,8.504
2021-08-03,3.824
2021-08-04,0.0
2021-08-05,328.964
2021-08-08,6.4
2021-08-09,0.0
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-14,0.0
2021-08-15,6.736000000000001
2021-08-16,93.648
2021-08-17,395.744
2021-08-18,104.12
2021-08-19,80.92
2021-08-20,25.264
2021-08-21,13.504
2021-08-22,45.264
2021-08-23,0.7280000000000001
2021-08-24,198.632
2021-08-25,160.592
2021-08-26,3.12
2021-08-27,70.488
2021-08-28,149.576
2021-08-29,37.672
2021-08-30,13.384
2021-08-31,0.152
2021-09-01,0.0
2021-09-02,0.0
2021-09-03,0.0
2021-09-04,0.8240000000000001
2021-09-05,13.6
2021-09-06,0.224
2021-09-07,0.0
2021-09-08,4.056
2021-09-09,81.744
2021-09-10,69.20800000000001
2021-09-11,21.880000000000003
2021-09-12,243.23200000000003
2021-09-13,4.168
2021-09-17,70.352
2021-09-18,80.80000000000001
2021-09-19,0.68
2021-09-20,0.0
2021-09-21,0.0
2021-09-22,4.424
2021-09-23,137.776
2021-09-24,16.896
2021-09-25,138.608
2021-09-26,2.28
2021-09-27,2.888
2021-09-28,283.848
2021-09-29,2.9280000000000004
2021-09-30,221.496
2021-10-01,3.6880000000000006
2021-10-02,2.336
2021-10-03,0.016
2021-10-04,10.48
2021-10-05,0.272
2021-10-06,0.0
2021-10-07,0.0
2021-10-08,0.0
2021-10-09,0.0
2021-10-10,1.736
2021-10-11,63.584
2021-10-12,2.5600000000000005
2021-10-14,61.528
2021-10-15,19.088
2021-10-16,1.2240000000000002
2021-10-17,0.008
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,46.752
2021-10-21,0.904
2021-10-22,0.904
2021-10-23,0.112
2021-10-27,129.41
2021-10-28,5.376
2021-10-29,398.032
2021-10-30,5.296
2021-10-31,0.0
2021-11-01,0.0
2021-11-02,8.64
2021-11-03,189.016
2021-11-04,2.4000000000000004
2021-11-05,0.0
2021-11-06,0.0
2021-11-07,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,68.64800000000001
2021-11-11,0.952
2021-11-12,0.0
2021-11-13,2.304
2021-11-14,314.16
2021-11-15,89.49600000000001
2021-11-16,0.6320000000000001
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-20,68.144
2021-11-21,94.248
2021-11-22,0.8880000000000001
2021-11-24,53.728
2021-11-25,207.152
2021-11-26,1.632
2021-11-27,0.0
2021-11-28,266.28000000000003
2021-11-29,3.12
2021-11-30,0.0
2021-12-01,31.472000000000005
2021-12-02,0.7440000000000001
2021-12-03,0.0
2021-12-04,0.0
2021-12-05,0.0
2021-12-06,0.0
2021-12-07,0.0
2021-12-08,0.0
2021-12-09,0.0
2021-12-10,0.0
2021-12-11,41.368
2021-12-12,68.032
2021-12-13,0.776
2021-12-14,0.0
2021-12-15,0.0
2021-12-16,0.0
2021-12-17,0.0
2021-12-18,0.0
2021-12-19,0.0
2021-12-20,0.0
2021-12-21,0.0
2021-12-22,0.0
2021-12-23,0.0
2021-12-24,0.0
2021-12-25,0.0
2021-12-26,0.7280000000000001
2021-12-27,395.16
2021-12-28,3.408
2021-12-29,76.04
2021-12-30,164.096
2022-01-01,375.224
2022-01-02,145.544
2022-01-03,306.192
2022-01-04,4.216
2022-01-05,0.0
2022-01-06,0.0
2022-01-07,6.5200000000000005
2022-01-08,64.06400000000001
2022-01-09,0.472
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,0.0
2022-01-13,4.896000000000001
2022-01-14,101.072
2022-01-15,229.58400000000003
2022-01-16,2.904
2022-01-17,0.0
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,0.04
2022-01-21,219.424
2022-01-22,27.960000000000004
2022-01-23,157.912
2022-01-24,1.2640000000000002
