Date,Snow_Depth_cm
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.0
2017-01-11,0.0
2017-01-12,0.0
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.0
2017-01-16,0.0
2017-01-17,0.0
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.0
2017-01-25,0.0
2017-01-26,0.0
2017-01-27,0.0
2017-01-28,0.0
2017-01-29,0.0
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.0
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.0
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.0
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.0
2017-02-23,0.0
2017-02-24,0.0
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.0
2017-03-01,0.0
2017-03-02,0.0
2017-03-03,0.0
2017-03-04,0.0
2017-03-05,0.0
2017-03-06,0.0
2017-03-07,0.0
2017-03-08,0.0
2017-03-09,0.0
2017-03-10,0.0
2017-03-11,0.0
2017-03-12,0.0
2017-03-13,0.0
2017-03-14,0.0
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-05-01,0.0
2017-05-02,0.0
2017-05-03,0.0
2017-05-04,0.0
2017-05-05,0.0
2017-05-06,0.0
2017-05-07,0.0
2017-05-08,0.0
2017-05-09,0.0
2017-05-10,0.0
2017-05-11,14.4
2017-05-12,25.33
2017-05-13,13.4
2017-05-14,7.71
2017-05-15,5.57
2017-05-16,2.73
2017-05-17,0.0
2017-05-18,13.24
2017-05-19,18.21
2017-05-20,11.66
2017-05-21,8.21
2017-05-22,6.6
2017-05-23,6.82
2017-05-24,6.23
2017-05-25,26.4
2017-05-26,28.4
2017-05-27,22.25
2017-05-28,19.02
2017-05-29,17.07
2017-05-30,14.53
2017-05-31,13.01
2017-06-01,12.83
2017-06-02,11.47
2017-06-03,9.21
2017-06-04,8.81
2017-06-05,8.67
2017-06-06,7.86
2017-06-07,7.79
2017-06-08,16.25
2017-06-09,15.85
2017-06-10,14.19
2017-06-11,13.46
2017-06-12,11.9
2017-06-13,9.27
2017-06-14,7.97
2017-06-15,7.47
2017-06-16,12.02
2017-06-17,41.22
2017-06-18,40.55
2017-06-19,36.41
2017-06-20,31.86
2017-06-21,29.1
2017-06-22,28.36
2017-06-23,28.37
2017-06-24,25.52
2017-06-25,24.05
2017-06-26,22.85
2017-06-27,28.42
2017-06-28,25.93
2017-06-29,24.65
2017-06-30,23.02
2017-07-01,21.17
2017-07-02,20.08
2017-07-03,19.25
2017-07-04,22.54
2017-07-05,27.48
2017-07-06,25.78
2017-07-07,23.97
2017-07-08,21.33
2017-07-09,21.83
2017-07-10,21.1
2017-07-11,20.12
2017-07-12,19.35
2017-07-13,19.92
2017-07-14,19.25
2017-07-15,39.34
2017-07-16,47.4
2017-07-17,42.23
2017-07-18,37.11
2017-07-19,32.88
2017-07-20,29.2
2017-07-21,26.59
2017-07-22,25.07
2017-07-23,24.45
2017-07-24,26.6
2017-07-25,25.6
2017-07-26,24.03
2017-07-27,22.54
2017-07-28,21.02
2017-07-29,20.26
2017-07-30,19.75
2017-07-31,19.4
2017-08-01,18.74
2017-08-02,18.07
2017-08-03,16.43
2017-08-04,14.31
2017-08-05,13.17
2017-08-06,12.65
2017-08-07,13.54
2017-08-08,11.9
2017-08-09,11.15
2017-08-10,15.52
2017-08-11,32.72
2017-08-12,37.6
2017-08-13,31.54
2017-08-14,30.27
2017-08-15,26.55
2017-08-16,23.73
2017-08-17,20.07
2017-08-18,17.92
2017-08-19,25.65
2017-08-20,23.79
2017-08-21,21.18
2017-08-22,19.67
2017-08-23,19.34
2017-08-24,19.13
2017-08-25,18.27
2017-08-26,17.45
2017-08-27,16.87
2017-08-28,16.09
2017-08-29,19.93
2017-08-30,18.09
2017-08-31,16.13
2017-09-01,14.18
2017-09-02,11.6
2017-09-03,9.79
2017-09-04,10.06
2017-09-05,9.9
2017-09-06,8.67
2017-09-07,7.93
2017-09-08,6.46
2017-09-09,2.59
2017-09-10,24.39
2017-09-11,28.12
2017-09-12,21.82
2017-09-13,18.41
2017-09-14,15.69
2017-09-15,12.05
2017-09-16,9.84
2017-09-17,5.63
2017-09-18,2.1
2017-09-19,0.0
