Date,Snow_Depth_cm
2016-01-31,0.4
2016-02-01,0.1
2016-02-02,0.1
2016-02-03,0.3
2016-02-04,0.2
2016-02-05,0.0
2016-02-06,0.1
2016-02-07,0.1
2016-02-08,0.1
2016-02-09,0.0
2016-02-10,0.1
2016-02-11,0.2
2016-02-12,0.1
2016-02-13,0.1
2016-02-14,0.0
2016-02-15,0.1
2016-02-16,0.1
2016-02-17,0.0
2016-02-18,0.1
2016-02-19,0.0
2016-02-20,0.0
2016-02-21,0.0
2016-02-22,0.0
2016-02-23,0.0
2016-02-24,0.0
2016-02-25,0.0
2016-02-26,0.0
2016-02-27,0.0
2016-02-28,0.0
2016-02-29,0.0
2016-03-01,0.0
2016-03-02,0.0
2016-03-03,0.0
2016-03-04,0.0
2016-03-05,0.0
2016-03-06,0.0
2016-03-07,0.0
2016-03-08,0.0
2016-03-09,0.0
2016-03-10,0.0
2016-03-11,0.0
2016-03-12,0.0
2016-03-13,0.0
2016-03-14,0.0
2016-03-15,0.0
2016-03-16,0.0
2016-03-17,0.0
2016-03-18,0.0
2016-03-19,0.0
2016-03-20,0.0
2016-03-21,0.0
2016-03-22,0.0
2016-03-23,0.0
2016-03-24,0.0
2016-03-25,0.0
2016-03-26,0.0
2016-03-27,0.0
2016-03-28,0.0
2016-03-29,0.0
2016-03-30,0.0
2016-03-31,0.0
2016-04-01,0.0
2016-04-02,0.0
2016-04-03,0.0
2016-04-04,0.0
2016-04-05,0.0
2016-04-06,0.0
2016-04-07,0.0
2016-04-08,0.2
2016-04-09,0.1
2016-04-10,0.1
2016-04-11,0.1
2016-04-12,0.0
2016-04-13,0.1
2016-04-14,0.0
2016-04-15,0.0
2016-04-17,0.1
2016-04-18,0.1
2016-04-19,0.0
2016-04-20,0.0
2016-04-21,0.1
2016-04-22,0.0
2016-04-23,0.0
2016-04-24,0.2
2016-04-25,0.3
2016-04-26,0.3
2016-04-27,0.2
2016-04-28,0.0
2016-04-29,0.0
2016-04-30,0.1
2016-05-01,0.2
2016-05-02,0.1
2016-05-03,0.0
2016-05-04,0.0
2016-05-05,0.0
2016-05-06,0.0
2016-06-08,10.0
2016-06-09,8.8
2016-06-10,5.7
2016-06-29,3.2
2016-06-30,2.2
2016-07-01,2.3
2016-07-02,3.6
2016-07-03,3.4
2016-07-18,5.0
2016-07-19,5.6
2016-07-20,4.4
2016-07-21,3.5
2016-07-22,3.0
2016-07-23,3.3
2016-07-24,3.7
2016-07-25,3.6
2016-07-26,3.5
2016-07-27,3.4
2016-07-28,4.1
2016-07-29,5.0
2016-07-30,5.2
2016-07-31,4.6
2016-08-01,4.7
2016-08-02,4.7
2016-08-03,4.5
2016-08-04,7.1
2016-08-05,8.5
2016-08-06,8.8
2016-08-07,4.4
2016-08-09,2.2
2016-08-10,30.0
2016-08-11,22.5
2016-08-12,18.7
2016-08-13,27.2
2016-08-14,26.2
2016-08-15,24.7
2016-08-16,24.9
2016-08-17,23.9
2016-08-18,25.7
2016-08-19,25.9
2016-08-20,24.1
2016-08-21,29.1
2016-08-22,27.0
2016-08-23,26.5
2016-08-24,23.3
2016-08-25,22.6
2016-08-26,24.0
2016-08-27,22.7
2016-08-28,21.6
2016-08-29,17.6
2016-08-30,17.8
2016-08-31,17.2
2016-09-01,16.3
2016-09-02,15.7
2016-09-03,15.2
2016-09-04,13.5
2016-09-05,11.7
2016-09-06,9.6
2016-09-07,4.6
2016-09-08,5.7
2016-09-09,6.0
2016-09-10,4.0
2016-09-11,2.9
2016-09-12,2.8
2016-10-11,9.5
2016-10-12,28.3
2016-10-13,22.8
2016-10-14,20.8
2016-10-15,16.8
2016-10-16,11.6
2016-10-17,6.9
2016-10-18,3.8
2016-12-21,9.4
2017-03-01,0.3
2017-03-02,0.3
2017-03-03,0.3
2017-03-04,0.3
2017-03-05,0.7
2017-03-06,1.0
2017-03-07,0.9
2017-03-08,0.6
2017-03-09,0.4
2017-03-10,0.1
2017-03-11,0.6
2017-03-12,0.0
2017-03-13,0.1
2017-03-14,0.2
2017-03-15,0.0
2017-03-16,0.0
2017-03-17,0.1
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.0
2017-03-23,0.0
2017-03-24,0.0
2017-03-25,0.1
2017-03-26,0.0
2017-03-27,0.1
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.6
2017-04-02,0.7
2017-04-03,0.9
2017-04-04,0.9
2017-04-05,0.8
2017-04-06,1.7
2017-04-07,2.2
2017-04-08,0.7
2017-04-09,0.8
2017-04-10,0.6
2017-04-11,0.3
2017-04-12,0.0
2017-04-13,0.05
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.05
2017-04-17,0.05
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.15
2017-04-21,0.45
2017-04-22,0.0
2017-04-23,0.0
2017-04-24,0.0
2017-04-25,0.0
2017-04-26,0.1
2017-04-27,0.5
2017-04-28,0.4
2017-04-29,0.1
2017-04-30,0.0
2017-05-01,0.6
2017-05-02,0.6
2017-05-03,3.9
2017-05-04,3.5
2017-05-05,0.9
2017-05-06,0.1
2017-05-07,0.2
2017-05-08,0.2
2017-05-09,0.2
2017-05-10,0.0
2017-05-11,0.0
2017-05-12,0.0
2017-05-13,0.0
2017-05-14,0.3
2017-05-15,1.9
2017-05-16,2.2
2017-05-17,3.0
2017-05-18,3.9
2017-05-19,1.3
2017-05-20,0.0
2017-05-21,1.4
2017-05-22,2.4
2017-05-23,2.0
2017-05-24,0.9
2017-05-25,0.5
2017-05-26,0.4
2017-05-27,0.2
2017-05-28,0.0
2017-05-29,0.0
2017-05-30,0.0
2017-05-31,0.0
2017-06-01,0.2
2017-06-02,2.9
2017-06-03,3.9
2017-06-04,2.4
2017-06-05,1.7
2017-06-06,0.0
2017-06-07,0.0
2017-06-08,0.1
2017-06-09,0.0
2017-06-10,0.1
2017-06-11,2.2
2017-06-12,5.5
2017-06-13,1.2
2017-06-14,12.3
2017-06-15,12.3
2017-06-16,10.6
2017-06-17,10.6
2017-06-18,11.0
2017-06-19,11.5
2017-06-20,11.6
2017-06-21,11.7
2017-06-22,14.9
2017-06-23,13.6
2017-06-24,12.7
2017-06-25,12.9
2017-06-26,12.0
2017-06-27,12.6
2017-06-28,16.4
2017-06-29,19.5
2017-06-30,20.0
2017-07-01,9.5
2017-07-02,0.2
2017-07-03,0.4
2017-07-04,7.4
2017-07-05,6.0
2017-07-06,7.2
2017-07-08,7.7
2017-07-09,8.0
2017-07-10,15.5
2017-07-11,33.0
2017-07-12,30.6
2017-07-13,30.3
2017-07-15,30.2
2017-07-16,20.3
2017-07-17,13.7
2017-07-18,8.2
2017-07-19,6.0
2017-07-20,5.6
2017-07-21,11.9
2017-07-22,11.6
2017-07-23,11.5
2017-07-24,19.6
2017-07-25,21.4
2017-07-26,13.6
2017-07-27,19.1
2017-07-28,26.2
2017-07-29,24.9
2017-07-30,24.5
2017-07-31,35.1
2017-08-01,43.2
2017-08-02,40.9
2017-08-03,39.0
2017-08-04,38.9
2017-08-05,38.5
2017-08-06,43.1
2017-08-07,50.8
2017-08-08,51.4
2017-08-09,50.1
2017-08-10,49.1
2017-08-11,48.3
2017-08-12,47.8
2017-08-13,48.2
2017-08-14,45.9
2017-08-15,44.8
2017-08-16,44.6
2017-08-17,45.1
2017-08-18,45.7
2017-08-19,45.2
2017-08-20,45.2
2017-08-21,45.0
2017-08-22,45.2
2017-08-23,47.6
2017-08-24,55.4
2017-08-25,52.5
2017-08-26,63.1
2017-08-27,64.2
2017-08-28,64.9
2017-08-29,70.3
2017-08-30,75.2
2017-08-31,84.8
2017-09-01,87.1
2017-09-02,83.1
2017-09-03,82.0
2017-09-04,82.7
2017-09-05,82.2
2017-09-06,78.5
2017-09-07,77.6
2017-09-08,77.0
2017-09-09,76.8
2017-09-10,75.9
2017-09-11,74.5
2017-09-12,77.0
2017-09-13,77.7
2017-09-14,76.8
2017-09-15,90.9
2017-09-16,99.4
2017-09-17,90.2
2017-09-18,84.9
2017-09-19,82.3
2017-09-20,80.5
2017-09-21,76.9
2017-09-22,74.0
2017-09-23,68.7
2017-09-24,63.8
2017-09-25,64.9
2017-09-26,64.2
2017-09-27,63.6
2017-09-28,60.7
2017-09-29,54.6
2017-09-30,51.2
2017-10-01,47.8
2017-10-02,45.8
2017-10-03,44.7
2017-10-04,42.8
2017-10-05,41.1
2017-10-06,39.8
2017-10-07,35.9
2017-10-08,45.6
2017-10-09,50.6
2017-10-10,45.9
2017-10-11,39.4
2017-10-12,29.8
2017-10-13,17.9
2017-10-14,12.5
2017-10-15,5.6
2017-10-16,0.5
2017-10-17,12.2
2017-10-18,15.4
2017-10-19,8.0
2017-10-20,1.3
2017-10-21,0.0
2017-10-22,0.0
2017-10-23,0.0
2017-10-24,0.1
2017-10-25,0.1
2017-10-26,0.0
2017-10-27,0.0
2017-10-28,0.5
2017-10-29,0.4
2017-10-30,0.4
2017-10-31,0.4
2017-11-01,0.3
2017-11-02,0.4
2017-11-03,0.3
2017-11-04,0.2
2017-11-05,0.2
2017-11-06,0.3
2017-11-07,0.2
2017-11-08,0.2
2017-11-09,0.2
2017-11-10,0.1
2017-11-11,0.2
2017-11-12,0.4
2017-11-13,0.2
2017-11-14,0.3
2017-11-15,0.2
2017-11-16,0.1
2017-11-17,0.0
2017-11-18,0.0
2017-11-19,0.0
2017-11-20,0.0
2017-11-21,0.0
2017-11-22,0.0
2017-11-23,0.0
2017-11-24,0.0
2017-11-25,0.0
2017-11-26,0.2
2017-11-27,0.2
2017-11-28,0.2
2017-11-29,0.3
2017-11-30,0.4
2017-12-01,0.3
2017-12-02,0.3
2017-12-03,0.3
2017-12-04,0.4
2017-12-05,0.2
2017-12-06,0.3
2017-12-07,0.2
2017-12-08,0.1
2017-12-09,0.0
2017-12-10,0.0
2017-12-11,0.1
2017-12-12,0.2
2017-12-13,0.1
2017-12-14,0.0
2017-12-15,0.1
2017-12-16,0.0
2017-12-17,0.0
2017-12-18,0.0
2017-12-19,0.1
2017-12-20,0.1
2017-12-21,2.2
2017-12-22,0.0
2017-12-23,0.0
2017-12-24,0.0
2017-12-25,0.2
2017-12-26,0.2
2017-12-27,0.2
2017-12-28,0.3
2017-12-29,0.3
2017-12-30,0.1
2017-12-31,0.2
2018-01-01,0.2
2018-01-02,0.3
2018-01-03,0.2
2018-01-04,0.2
2018-01-05,0.2
2018-01-06,0.3
2018-01-07,0.2
2018-01-08,0.3
2018-01-09,0.2
2018-01-10,0.2
2018-01-11,0.2
2018-01-12,0.1
2018-01-13,0.0
2018-01-14,0.2
2018-01-15,0.2
2018-01-16,0.1
2018-01-17,0.1
2018-01-18,0.1
2018-01-19,0.1
2018-01-20,0.2
2018-01-21,0.1
2018-01-22,0.1
2018-01-23,0.0
2018-01-24,0.0
2018-01-25,0.1
2018-01-26,0.0
2018-01-27,0.0
2018-01-28,0.0
2018-01-29,0.0
2018-01-30,0.0
2018-01-31,0.0
2018-02-01,0.0
2018-02-02,0.0
2018-02-03,0.0
2018-02-04,0.0
2018-02-05,0.0
2018-02-06,0.0
2018-02-07,0.0
2018-02-08,0.0
2018-02-09,0.0
2018-02-10,0.0
2018-02-11,0.0
2018-02-12,0.0
2018-02-13,0.0
2018-02-14,0.0
2018-02-15,0.2
2018-02-16,0.0
2018-02-17,0.0
2018-02-18,0.0
2018-02-19,0.0
2018-02-20,0.0
2018-02-21,0.0
2018-02-22,0.0
2018-02-23,0.0
2018-02-24,0.0
2018-02-25,0.0
2018-02-26,0.0
2018-02-27,0.0
2018-02-28,0.0
2018-03-01,0.0
2018-03-02,0.0
2018-03-03,0.0
2018-03-04,0.0
2018-03-05,0.0
2018-03-06,0.0
2018-03-07,0.0
2018-03-08,0.0
2018-03-09,0.0
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,0.0
2018-03-16,0.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,0.0
2018-03-20,0.1
2018-03-21,0.1
2018-03-22,0.0
2018-03-23,0.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.1
2018-03-30,0.0
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,0.0
2018-04-03,0.0
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,0.0
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,0.1
2018-04-10,0.3
2018-04-11,1.0
2018-04-12,0.1
2018-04-13,0.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,9.9
2018-04-17,2.5
2018-04-18,0.9
2018-04-19,2.4
2018-04-20,1.9
2018-04-21,10.4
2018-04-22,16.9
2018-04-23,17.6
2018-04-24,12.4
2018-04-25,7.0
2018-04-26,5.2
2018-04-27,5.2
2018-04-28,5.0
2018-04-29,4.8
2018-04-30,4.8
2018-05-01,5.1
2018-05-02,4.4
2018-05-03,3.2
2018-05-04,3.2
2018-05-05,2.1
2018-05-06,0.7
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.3
2018-05-13,2.0
2018-05-14,5.1
2018-05-15,4.4
2018-05-16,4.4
2018-05-17,4.7
2018-05-18,4.0
2018-05-19,0.6
2018-05-20,0.0
2018-05-21,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.1
2018-05-27,3.1
2018-05-28,6.1
2018-05-29,5.0
2018-05-30,5.6
2018-05-31,5.2
2018-06-01,5.0
2018-06-02,5.0
2018-06-03,4.9
2018-06-04,4.6
2018-06-05,4.8
2018-06-06,4.9
2018-06-07,7.7
2018-06-08,13.3
2018-06-09,9.6
2018-06-10,8.5
2018-06-11,8.2
2018-06-12,8.0
2018-06-13,8.5
2018-06-14,8.1
2018-06-15,1.8
2018-06-16,0.4
2018-06-17,0.2
2018-06-18,8.8
2018-06-19,12.1
2018-06-20,23.8
2018-06-21,19.1
2018-06-22,17.6
2018-06-23,16.4
2018-06-24,20.1
2018-06-25,23.3
2018-06-26,24.4
2018-06-27,29.1
2018-06-28,50.7
2018-06-29,56.0
2018-06-30,51.8
2018-07-01,46.3
2018-07-02,44.2
2018-07-03,43.4
2018-07-04,42.2
2018-07-05,41.1
2018-07-06,40.8
2018-07-07,41.0
2018-07-08,40.8
2018-07-09,27.9
2018-07-10,21.0
2018-07-11,20.0
2018-07-12,20.0
2018-07-13,20.1
2018-07-14,19.4
2018-07-15,20.0
2018-07-16,19.7
2018-07-17,20.1
2018-07-18,20.5
2018-07-19,20.8
2018-07-20,19.8
2018-07-21,20.5
2018-07-22,20.8
2018-07-23,22.4
2018-07-24,22.4
2018-07-25,18.1
2018-07-26,16.4
2018-07-27,15.9
2018-07-28,15.7
2018-07-29,17.8
2018-07-30,15.0
2018-07-31,17.5
2018-08-01,18.0
2018-08-02,18.2
2018-08-03,22.8
2018-08-04,35.6
2018-08-05,45.9
2018-08-06,46.3
2018-08-07,44.4
2018-08-08,44.2
2018-08-09,41.3
2018-08-10,39.4
2018-08-11,39.1
2018-08-12,39.9
2018-08-13,42.2
2018-08-14,46.1
2018-08-15,42.3
2018-08-16,37.6
2018-08-17,39.8
2018-08-18,43.1
2018-08-19,63.8
2018-08-20,70.8
2018-08-21,61.5
2018-08-22,56.1
2018-08-23,54.7
2018-08-24,53.4
2018-08-25,51.5
2018-08-26,48.1
2018-08-27,52.2
2018-08-28,75.3
2018-08-29,84.0
2018-08-30,70.7
2018-08-31,71.0
2018-09-01,68.6
2018-09-02,81.9
2018-09-03,72.8
2018-09-04,72.4
2018-09-05,70.8
2018-09-06,74.1
2018-09-07,77.0
2018-09-08,82.8
2018-09-09,82.9
2018-09-10,81.3
2018-09-11,93.5
2018-09-12,96.6
2018-09-13,92.8
2018-09-14,86.6
2018-09-15,82.8
2018-09-16,91.0
2018-09-17,94.3
2018-09-18,87.6
2018-09-19,87.6
2018-09-20,85.4
2018-09-21,85.5
2018-09-22,87.4
2018-09-23,86.0
2018-09-24,85.6
2018-09-25,85.8
2018-09-26,85.3
2018-09-27,83.1
2018-09-28,80.1
2018-09-29,78.6
2018-09-30,78.4
2018-10-01,77.8
2018-10-02,77.2
2018-10-03,75.2
2018-10-04,72.7
2018-10-05,70.4
2018-10-06,64.8
2018-10-07,61.9
2018-10-08,61.8
2018-10-09,62.1
2018-10-10,57.9
2018-10-11,54.3
2018-10-12,50.7
2018-10-13,45.2
2018-10-14,38.8
2018-10-15,33.0
2018-10-16,41.5
2018-10-17,44.4
2018-10-18,40.3
2018-10-19,34.9
2018-10-20,30.0
2018-10-21,23.1
2018-10-22,15.4
2018-10-23,7.2
2018-10-24,0.5
2018-10-25,0.0
2018-10-26,0.0
2018-10-27,0.0
2018-10-28,0.0
2018-10-29,0.1
2018-10-30,0.0
2018-10-31,0.1
2018-11-01,0.0
2018-11-02,0.0
2018-11-03,0.0
2018-11-04,0.8
2018-11-05,0.2
2018-11-06,0.0
2018-11-07,0.2
2018-11-08,0.3
2018-11-09,0.0
2018-11-10,0.2
2018-11-11,0.0
2018-11-12,0.0
2018-11-13,0.0
2018-11-14,0.0
2018-11-15,0.0
2018-11-16,0.0
2018-11-17,0.0
2018-11-18,0.0
2018-11-19,0.0
2018-11-20,3.9
2018-11-21,2.1
2018-11-22,0.0
2018-11-23,0.0
2018-11-24,0.0
2018-11-25,0.0
2018-11-26,0.0
2018-11-27,0.0
2018-11-28,0.0
2018-11-29,0.0
2018-11-30,0.0
2018-12-01,0.0
2018-12-02,0.0
2018-12-03,0.0
2018-12-04,0.0
2018-12-05,0.0
2018-12-06,0.0
2018-12-07,0.0
2018-12-08,0.0
2018-12-09,0.0
