Date,Snow_Depth_cm
2018-03-10,0.0
2018-03-11,0.0
2018-03-12,0.0
2018-03-13,0.0
2018-03-14,0.0
2018-03-15,0.0
2018-03-17,0.0
2018-03-18,0.0
2018-03-19,0.0
2018-03-20,2.54
2018-03-21,2.4
2018-03-22,0.0
2018-03-23,0.0
2018-03-24,0.0
2018-03-25,0.0
2018-03-26,0.0
2018-03-27,0.0
2018-03-28,0.0
2018-03-29,0.0
2018-03-30,0.0
2018-03-31,0.0
2018-04-01,0.0
2018-04-02,0.0
2018-04-03,0.0
2018-04-04,0.0
2018-04-05,0.0
2018-04-06,0.0
2018-04-07,0.0
2018-04-08,0.0
2018-04-09,0.0
2018-04-10,0.0
2018-04-11,0.0
2018-04-12,0.0
2018-04-13,0.0
2018-04-14,0.0
2018-04-15,0.0
2018-04-16,2.64
2018-04-17,0.0
2018-04-18,0.0
2018-04-19,0.0
2018-04-20,0.0
2018-04-21,0.0
2018-04-22,0.0
2018-04-23,0.0
2018-04-24,0.0
2018-04-25,0.0
2018-04-26,0.0
2018-04-27,0.0
2018-04-28,0.0
2018-04-29,0.0
2018-04-30,0.0
2018-05-01,0.0
2018-05-02,0.0
2018-05-03,0.0
2018-05-04,0.0
2018-05-05,0.0
2018-05-06,0.0
2018-05-07,0.0
2018-05-08,0.0
2018-05-09,0.0
2018-05-10,0.0
2018-05-11,0.0
2018-05-12,0.0
2018-05-13,0.0
2018-05-14,0.0
2018-05-15,0.0
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.0
2018-05-20,0.0
2018-05-22,0.0
2018-05-23,0.0
2018-05-24,0.0
2018-05-25,0.0
2018-05-26,0.0
2018-05-27,0.0
2018-05-28,0.0
2018-05-29,0.0
2018-05-30,22.57
2018-05-31,16.62
2018-06-01,11.72
2018-06-02,9.57
2018-06-03,8.85
2018-06-04,6.96
2018-06-05,7.63
2018-06-06,14.42
2018-06-07,14.64
2018-06-08,14.54
2018-06-09,12.67
2018-06-10,37.84
2018-06-11,49.5
2018-06-12,50.77
2018-06-13,47.43
2018-06-14,45.0
2018-06-15,43.81
2018-06-16,42.42
2018-06-17,42.45
2018-06-18,42.31
2018-06-19,41.1
2018-06-20,39.85
2018-06-21,38.18
2018-06-22,38.14
2018-06-23,38.6
2018-06-24,55.14
2018-06-25,55.37
2018-06-26,53.44
2018-06-27,51.87
2018-06-28,51.3
2018-06-29,49.97
2018-06-30,49.0
2018-07-01,47.9
2018-07-02,51.7
2018-07-03,49.55
2018-07-04,52.7
2018-07-05,73.86
2018-07-06,80.59
2018-07-07,85.36
2018-07-08,84.15
2018-07-09,82.44
2018-07-10,80.85
2018-07-11,78.24
2018-07-12,77.03
2018-07-13,76.57
2018-07-14,73.95
2018-07-15,74.38
2018-07-16,74.12
2018-07-17,72.59
2018-07-18,70.74
2018-07-19,74.37
2018-07-20,82.88
2018-07-21,83.57
2018-07-22,78.95
2018-07-23,77.72
2018-07-24,78.3
2018-07-25,77.37
2018-07-26,79.16
2018-07-27,78.94
2018-07-28,90.76
2018-07-29,87.8
2018-07-30,83.44
2018-07-31,82.69
2018-08-01,82.8
2018-08-02,82.11
2018-08-03,80.25
2018-08-04,81.63
2018-08-05,81.7
2018-08-06,81.19
2018-08-07,100.89
2018-08-08,112.67
2018-08-09,111.65
2018-08-10,104.66
2018-08-11,101.1
2018-08-12,98.98
2018-08-13,95.45
2018-08-14,96.26
2018-08-15,95.83
2018-08-16,95.45
2018-08-17,94.31
2018-08-18,91.45
2018-08-19,89.94
2018-08-20,90.34
2018-08-21,91.15
2018-08-22,91.31
2018-08-23,87.52
2018-08-24,105.22
2018-08-25,105.67
2018-08-26,105.14
2018-08-27,103.15
2018-08-28,101.89
2018-08-29,100.74
2018-08-30,98.51
2018-08-31,97.85
2018-09-01,96.7
2018-09-02,100.15
2018-09-03,100.03
2018-09-04,99.44
2018-09-05,97.5
2018-09-06,96.1
2018-09-07,94.66
2018-09-08,92.05
2018-09-09,91.31
2018-09-10,90.82
2018-09-11,88.85
2018-09-12,86.32
2018-09-13,82.92
2018-09-14,81.91
2018-09-15,79.46
2018-09-16,78.08
2018-09-17,77.28
2018-09-18,100.69
2018-09-19,118.85
2018-09-20,116.65
2018-09-21,115.2
2018-09-22,111.64
2018-09-23,109.15
2018-09-24,109.23
2018-09-25,108.48
2018-09-26,107.57
2018-09-27,110.93
2018-09-28,113.07
2018-09-29,118.43
2018-09-30,125.49
2018-10-01,124.07
2018-10-02,121.6
2018-10-03,121.63
2018-10-04,121.93
2018-10-05,119.18
2018-10-06,115.02
2018-10-07,112.54
2018-10-08,116.03
2018-10-09,117.68
2018-10-10,118.24
2018-10-11,124.96
2018-10-12,127.48
2018-10-13,125.36
2018-10-14,124.88
2018-10-15,120.61
2018-10-17,121.23
2018-10-18,120.78
2018-10-19,118.32
2018-10-20,114.21
2018-10-21,112.32
2018-10-22,108.9
2018-10-23,104.91
2018-10-24,102.38
2018-10-25,99.9
2018-10-26,96.59
2018-10-27,90.76
2018-10-28,89.45
2018-10-29,87.39
2018-10-30,86.3
2018-10-31,85.12
2018-11-01,83.03
2018-11-02,81.73
2018-11-03,80.4
2018-11-04,74.73
2018-11-05,70.43
2018-11-06,63.44
2018-11-07,57.57
2018-11-08,50.32
2018-11-09,40.43
2018-11-10,33.2
2018-11-11,26.31
2018-11-12,27.37
2018-11-13,42.19
2018-11-14,43.87
2018-11-15,36.4
2018-11-16,29.08
2018-11-17,25.14
2018-11-18,22.05
2018-11-19,13.16
2018-11-20,3.48
2018-11-21,0.0
2018-11-22,0.0
2018-11-23,0.0
2018-11-24,0.0
2018-11-25,0.0
2018-11-26,0.0
2018-11-27,0.0
2018-11-28,0.0
2018-11-29,0.0
2018-11-30,0.0
2018-12-01,0.0
2018-12-02,0.0
2018-12-03,0.0
2018-12-04,0.0
2018-12-05,8.16
2018-12-06,9.06
2018-12-07,0.0
2018-12-08,0.0
2018-12-09,0.0
2018-12-10,0.0
2018-12-11,0.0
2018-12-12,0.0
2018-12-13,0.0
2018-12-14,0.0
2018-12-15,0.0
2018-12-16,0.0
2018-12-17,0.0
2018-12-18,0.0
2018-12-19,0.0
2018-12-20,0.0
2018-12-21,0.0
2018-12-22,0.0
2018-12-23,0.0
2018-12-24,0.0
2018-12-25,0.0
2018-12-26,0.0
2018-12-27,0.0
2018-12-28,0.0
2018-12-29,0.0
2018-12-30,0.0
2018-12-31,0.0
2019-01-01,0.0
2019-01-02,0.0
2019-01-03,0.0
2019-01-04,0.0
2019-01-05,0.0
2019-01-06,0.0
2019-01-07,0.0
2019-01-08,0.0
2019-01-09,0.0
2019-01-10,0.0
