Fecha,Precipitacion_mm
2024-01-07,0.0
2024-01-08,0.0
2024-01-09,4.8
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,0.0
2024-01-13,0.0
2024-01-14,0.0
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,4.665000000000001
2024-01-18,1.938
2024-01-19,0.0
2024-01-20,0.0
2024-01-21,0.0
2024-01-22,0.72
2024-01-23,0.6
2024-01-24,3.0
2024-01-25,42.605
2024-01-26,23.862
2024-01-27,64.28
2024-01-28,0.0
2024-01-29,0.6
2024-01-30,2.94
2024-01-31,43.928
2024-02-01,54.432
2024-02-02,79.14
2024-02-03,2.28
2024-02-04,8.879999999999999
2024-02-05,23.46
2024-02-06,25.843
2024-02-07,60.786
2024-02-08,0.0
2024-02-09,0.0
2024-02-10,0.0
2024-02-11,22.61
2024-02-12,0.0
2024-02-13,0.0
2024-02-14,0.0
2024-02-15,0.0
2024-02-16,0.8400000000000001
2024-02-17,0.3
2024-02-18,1.2
2024-02-19,5.445
2024-02-20,6.9
2024-02-21,3.54
2024-02-22,21.364
2024-02-23,0.0
2024-02-24,0.0
2024-02-25,0.0
2024-02-26,0.0
2024-02-27,15.6
2024-02-28,0.42
2024-02-29,0.0
2024-03-01,2.22
2024-03-02,0.0
2024-03-03,0.0
2024-03-04,0.0
2024-03-05,15.84
2024-03-06,0.0
2024-03-07,0.0
2024-03-09,0.0
2024-03-10,9.72
2024-03-11,83.894
2024-03-12,0.0
2024-03-13,148.61
2024-03-14,20.76
2024-03-15,46.188
2024-03-16,2.817
2024-03-19,32.27
2024-03-20,8.34
2024-03-21,0.0
2024-03-22,20.521
2024-03-23,28.56
2024-03-24,0.0
2024-03-25,10.86
2024-03-26,0.0
2024-03-27,0.0
2024-03-28,0.0
2024-03-29,0.0
2024-03-30,0.0
2024-03-31,0.0
2024-04-01,0.0
2024-04-02,0.0
2024-04-03,0.0
2024-04-04,0.0
2024-04-05,0.0
2024-04-06,0.0
2024-04-07,0.0
2024-04-08,0.0
2024-04-09,0.0
2024-04-10,0.0
2024-04-11,0.0
2024-04-12,0.0
2024-04-13,0.0
2024-04-14,0.0
2024-04-15,0.0
2024-04-16,2.64
2024-04-17,0.0
2024-04-18,17.47
2024-04-19,46.447
2024-04-20,0.6599999999999999
2024-04-21,0.0
2024-04-22,0.0
2024-04-23,0.0
2024-04-24,0.0
2024-04-27,17.484
2024-04-28,8.16
2024-04-29,19.314
2024-05-01,0.0
2024-05-02,0.0
2024-05-03,0.0
2024-05-04,0.0
2024-05-05,0.0
2024-05-06,0.0
2024-05-07,0.0
2024-05-08,0.0
2024-05-10,0.0
2024-05-11,0.0
2024-05-12,0.0
2024-05-13,0.0
2024-05-14,0.0
2024-05-15,0.0
2024-05-16,0.0
2024-05-17,0.0
2024-05-18,0.0
2024-05-19,3.4799999999999995
2024-05-20,0.0
2024-05-21,0.0
2024-05-22,0.0
2024-05-23,0.0
2024-05-24,0.0
2024-05-25,0.0
2024-05-26,0.0
2024-05-27,0.0
2024-05-29,9.84
