Date,Snow_Depth_cm
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,0.0
2017-01-06,0.0
2017-01-07,0.0
2017-01-08,0.0
2017-01-09,0.0
2017-01-10,0.1
2017-01-11,0.0
2017-01-12,0.1
2017-01-13,0.0
2017-01-14,0.0
2017-01-15,0.1
2017-01-16,0.0
2017-01-17,0.1
2017-01-18,0.0
2017-01-19,0.0
2017-01-20,0.0
2017-01-21,0.0
2017-01-22,0.0
2017-01-23,0.0
2017-01-24,0.1
2017-01-25,0.1
2017-01-26,0.1
2017-01-27,0.1
2017-01-28,0.0
2017-01-29,0.2
2017-01-30,0.0
2017-01-31,0.0
2017-02-01,0.0
2017-02-02,0.0
2017-02-03,0.0
2017-02-04,0.0
2017-02-05,0.0
2017-02-06,0.0
2017-02-07,0.0
2017-02-08,0.0
2017-02-09,0.1
2017-02-10,0.0
2017-02-11,0.0
2017-02-12,0.0
2017-02-13,0.0
2017-02-14,0.1
2017-02-15,0.0
2017-02-16,0.0
2017-02-17,0.2
2017-02-18,0.0
2017-02-19,0.0
2017-02-20,0.0
2017-02-21,0.0
2017-02-22,0.1
2017-02-23,0.3
2017-02-24,0.1
2017-02-25,0.0
2017-02-26,0.0
2017-02-27,0.0
2017-02-28,0.2
2017-03-01,0.3
2017-03-02,0.0
2017-03-03,0.1
2017-03-04,0.1
2017-03-05,0.4
2017-03-06,0.0
2017-03-07,0.7
2017-03-08,1.8
2017-03-09,3.4
2017-03-10,1.7
2017-03-11,2.2
2017-03-12,1.5
2017-03-13,1.1
2017-03-14,0.9
2017-03-15,1.0
2017-03-16,0.9
2017-03-17,0.0
2017-03-18,0.0
2017-03-19,0.0
2017-03-20,0.0
2017-03-21,0.0
2017-03-22,0.1
2017-03-23,0.0
2017-03-24,0.1
2017-03-25,0.3
2017-03-26,0.6
2017-03-27,0.5
2017-03-28,0.0
2017-03-29,0.0
2017-03-30,0.0
2017-03-31,0.0
2017-04-01,0.0
2017-04-02,0.0
2017-04-03,0.1
2017-04-04,0.0
2017-04-05,0.0
2017-04-06,0.1
2017-04-07,8.3
2017-04-08,3.0
2017-04-09,0.0
2017-04-10,0.0
2017-04-11,0.1
2017-04-12,0.2
2017-04-13,0.4
2017-04-14,0.0
2017-04-15,0.0
2017-04-16,0.0
2017-04-17,0.0
2017-04-18,0.0
2017-04-19,0.0
2017-04-20,0.2
2017-04-21,0.5
2017-04-22,0.4
2017-04-23,0.5
2017-04-24,0.5
2017-04-25,0.7
2017-04-26,0.0
2017-04-27,0.2
2017-04-28,0.0
2017-04-29,0.0
2017-04-30,0.0
2017-05-01,0.0
2017-05-02,0.3
2017-05-03,0.2
2017-05-04,0.2
2017-05-05,0.7
2017-05-06,2.2
2017-05-07,15.5
2017-05-08,18.9
2017-05-09,10.3
2017-05-10,6.7
2017-05-11,10.9
2017-05-12,26.6
2017-05-13,15.8
2017-05-14,16.9
2017-05-15,17.5
2017-05-16,13.2
2017-05-17,11.0
2017-05-18,11.6
2017-05-19,12.6
2017-05-20,13.0
2017-05-21,10.9
2017-05-22,9.9
2017-05-23,13.0
2017-05-24,15.7
2017-05-25,29.6
2017-05-26,25.7
2017-05-27,22.8
2017-05-28,22.2
2017-05-29,20.0
2017-05-30,19.1
2017-05-31,19.0
2017-06-01,16.6
2017-06-02,15.8
2017-06-03,16.3
2017-06-04,15.6
2017-06-05,15.0
2017-06-06,14.9
2017-06-08,14.5
2017-06-09,14.5
2017-06-10,13.9
2017-06-11,13.6
2017-06-12,11.2
2017-06-13,9.7
2017-06-14,6.2
2017-06-15,4.6
2017-06-16,33.5
2017-06-17,36.4
2017-06-18,34.5
2017-06-19,33.7
2017-06-20,29.9
2017-06-21,26.1
2017-06-22,38.0
2017-06-23,74.9
2017-06-24,67.5
2017-06-25,51.6
2017-06-26,47.6
2017-06-27,49.6
2017-06-28,48.7
2017-06-29,47.9
2017-06-30,45.7
2017-07-01,44.2
2017-07-02,42.1
2017-07-03,37.3
2017-07-04,34.4
2017-07-05,33.8
2017-07-06,33.2
2017-07-07,43.9
2017-07-08,39.9
2017-07-09,36.7
2017-07-10,34.4
2017-07-11,32.5
2017-07-12,31.5
2017-07-13,54.2
2017-07-14,59.7
2017-07-15,41.3
2017-07-16,46.8
2017-07-17,45.6
2017-07-18,45.4
2017-07-19,44.5
2017-07-20,42.0
2017-07-21,39.9
2017-07-22,38.3
2017-07-23,37.1
2017-07-24,39.0
2017-07-25,38.5
2017-07-26,35.8
2017-07-27,33.8
2017-07-28,32.2
2017-07-29,30.9
2017-07-30,30.5
2017-07-31,30.9
2017-08-01,31.0
2017-08-02,30.8
2017-08-03,28.2
2017-08-04,22.9
2017-08-05,15.8
2017-08-06,17.5
2017-08-07,15.5
2017-08-08,13.7
2017-08-09,13.5
2017-08-10,62.0
2017-08-11,52.5
2017-08-12,43.0
2017-08-13,36.5
