Date,Snow_Depth_cm
2020-03-27,0.0
2020-03-28,0.0
2020-03-29,0.0
2020-03-30,0.0
2020-03-31,0.0
2020-04-01,0.0
2020-04-02,0.0
2020-04-03,0.0
2020-04-04,0.0
2020-04-05,5.21
2020-04-06,2.99
2020-04-07,0.0
2020-04-08,0.0
2020-04-09,0.0
2020-04-10,0.0
2020-04-11,0.0
2020-04-12,0.0
2020-04-13,0.0
2020-04-14,0.0
2020-04-15,0.0
2020-04-16,0.0
2020-04-17,0.0
2020-04-18,0.0
2020-04-19,0.0
2020-04-20,0.0
2020-04-21,0.0
2020-04-22,0.0
2020-04-23,0.0
2020-04-24,0.0
2020-04-25,0.0
2020-04-26,0.0
2020-04-27,0.0
2020-04-28,0.0
2020-04-29,0.0
2020-04-30,0.0
2020-05-01,0.0
2020-05-02,0.0
2020-05-03,0.0
2020-05-04,0.0
2020-05-05,0.0
2020-05-06,0.0
2020-05-07,0.0
2020-05-08,0.0
2020-05-09,0.0
2020-05-10,0.0
2020-05-11,0.0
2020-05-12,0.0
2020-05-13,0.0
2020-05-14,0.0
2020-05-15,0.0
2020-05-16,0.0
2020-05-17,0.0
2020-05-18,20.5
2020-05-19,18.88
2020-05-20,17.31
2020-05-21,16.95
2020-05-27,0.0
2020-05-28,0.0
2020-05-29,0.0
2020-05-30,0.0
2020-05-31,0.0
2020-06-01,0.0
2020-06-02,0.0
2020-06-03,0.0
2020-06-04,0.0
2020-06-05,5.87
2020-06-06,7.57
2020-06-16,59.05
2020-06-17,58.82
2020-06-18,58.27
2020-06-19,60.64
2020-06-20,65.62
2020-06-21,69.43
2020-06-22,66.75
2020-06-23,66.7
2020-06-24,68.45
2020-06-25,70.86
2020-06-26,77.24
2020-06-27,75.02
2020-06-28,73.42
2020-07-01,69.62
2020-07-02,71.4
2020-07-03,76.65
2020-07-04,75.23
2020-07-06,72.87
2020-07-07,72.4
2020-07-08,73.06
2020-07-11,85.94
2020-07-12,84.64
2020-07-13,81.5
2020-07-14,78.69
2020-07-15,76.99
2020-07-16,77.75
2020-07-17,84.61
2020-07-18,86.77
2020-07-22,106.54
2020-07-23,104.37
2020-07-24,103.19
2020-07-26,113.13
2020-07-27,112.17
2020-07-28,115.13
2020-07-29,113.52
2020-07-30,111.97
2020-08-01,109.79
2020-08-02,117.53
2020-08-03,116.35
2020-08-04,115.63
2020-08-05,114.73
2020-08-06,114.75
2020-08-07,116.42
2020-08-08,130.54
2020-08-09,129.1
2020-08-10,126.73
2020-08-11,119.27
2020-08-12,134.94
2020-08-13,126.59
2020-08-14,123.75
2020-08-15,122.83
2020-08-16,120.89
2020-08-17,118.27
2020-08-18,115.21
2020-08-19,119.95
2020-08-20,134.76
2020-08-21,134.79
2020-08-22,134.33
2020-08-23,134.36
2020-08-24,132.6
2020-08-25,130.85
2020-08-26,133.36
2020-08-27,133.24
2020-08-28,132.15
2020-08-29,130.6
2020-08-30,128.56
2020-08-31,127.88
2020-09-01,127.64
2020-09-02,127.49
2020-09-03,127.03
2020-09-04,126.62
2020-09-05,126.46
2020-09-06,126.23
2020-09-07,125.8
2020-09-08,125.11
2020-09-09,124.3
2020-09-10,125.32
2020-09-11,124.97
2020-09-12,130.17
2020-09-13,132.73
2020-09-14,129.58
2020-09-15,131.72
2020-09-16,132.72
2020-09-18,133.22
2020-09-19,133.71
2020-09-20,132.89
2020-09-21,132.37
2020-09-22,130.84
2020-09-23,129.24
2020-09-24,125.27
2020-09-25,120.17
2020-09-26,118.58
2020-09-27,116.22
2020-09-28,112.02
2020-09-29,111.14
2020-09-30,110.68
2020-10-01,109.93
2020-10-02,110.0
2020-10-03,109.94
2020-10-04,107.77
2020-10-05,105.42
2020-10-06,110.95
2020-10-07,117.99
2020-10-08,114.6
2020-10-09,107.81
2020-10-10,102.12
2020-10-11,98.25
2020-10-12,90.15
2020-10-13,85.2
2020-10-14,82.21
2020-10-15,75.46
2020-10-16,67.0
2020-10-17,54.83
2020-10-18,56.11
2020-10-19,70.09
2020-10-20,68.95
2020-10-21,65.25
2020-10-22,56.43
2020-10-23,49.13
2020-10-24,44.78
2020-10-25,41.53
2020-10-26,35.52
2020-10-27,32.79
2020-10-28,30.65
2020-10-29,28.48
2020-10-30,25.87
2020-10-31,19.78
2020-11-01,6.9
2020-11-02,0.0
2020-11-03,0.0
2020-11-04,0.0
2020-11-05,0.0
2020-11-06,0.0
2020-11-07,0.0
2020-11-08,0.0
2020-11-09,0.0
2020-11-10,0.0
2020-11-11,0.0
2020-11-12,0.0
2020-11-13,0.0
2020-11-14,0.0
2020-11-15,0.0
2020-11-16,0.0
2020-11-17,0.0
2020-11-18,0.0
2020-11-19,0.0
2020-11-20,0.0
2020-11-21,0.0
2020-11-22,0.0
2020-11-23,0.0
2020-11-25,0.0
2020-11-26,0.0
2020-11-27,0.0
2020-11-28,0.0
2020-11-29,0.0
2020-11-30,0.0
2020-12-01,0.0
2020-12-02,0.0
2020-12-03,0.0
2020-12-04,0.0
2020-12-05,0.0
2020-12-06,0.0
2020-12-07,0.0
2020-12-08,0.0
2020-12-09,0.0
2020-12-10,0.0
2020-12-11,0.0
2020-12-12,0.0
2020-12-13,0.0
2020-12-14,0.0
2020-12-15,0.0
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,0.0
2020-12-19,0.0
2020-12-20,0.0
2020-12-21,0.0
2020-12-22,0.0
2020-12-23,0.0
2020-12-24,0.0
2020-12-25,0.0
2020-12-26,0.0
2020-12-27,0.0
2020-12-28,0.0
2020-12-29,0.0
2020-12-30,0.0
2020-12-31,0.0
2021-01-01,0.0
2021-01-02,0.0
2021-01-03,0.0
2021-01-04,0.0
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-09,0.0
2021-01-10,0.0
2021-01-11,0.0
2021-01-12,0.0
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,0.0
2021-01-16,0.0
